Feature,Importance
HistoryOfAllergies,0.5051713945865435
Eczema,0.46089220833839095
HayFever,0.4204014935614654
NighttimeSymptoms,0.4017269348319408
ChestTightness,0.3783642259045833
PetAllergy,0.37779085495081866
Smoking,0.35818409792408035
Coughing,0.3519446286358923
ShortnessOfBreath,0.32938011852663845
FamilyHistoryAsthma,0.31490255070875545
GastroesophagealReflux,0.249707070516003
EducationLevel,0.2447014913921148
Gender,0.23821623675754952
DustExposure,0.19236537057187403
PollenExposure,0.16811639376662374
